Timestamp,Floor_point,Re-ID
2020-04-10 00:01:04.733333,"[343.0, 180.0]",2
2020-04-10 00:01:05.400000,"[146.0, 574.0]",5
2020-04-10 00:01:05.400000,"[261.0, 184.0]",2
2020-04-10 00:01:05.400000,"[329.0, 185.0]",2
2020-04-10 00:01:06.066667,"[145.0, 576.0]",5
2020-04-10 00:01:06.066667,"[301.0, 179.0]",4
2020-04-10 00:01:06.066667,"[227.0, 197.0]",3
2020-04-10 00:01:06.733333,"[269.0, 185.0]",4
2020-04-10 00:01:07.400000,"[247.0, 190.0]",4
2020-04-10 00:01:08.066667,"[210.0, 192.0]",12
2020-04-10 00:01:08.733333,"[214.0, 201.0]",12
2020-04-10 00:01:08.733333,"[186.0, 526.0]",5
2020-04-10 00:01:09.400000,"[225.0, 200.0]",12
2020-04-10 00:01:09.400000,"[121.0, 333.0]",3
2020-04-10 00:01:10.066667,"[221.0, 196.0]",12
2020-04-10 00:01:10.733333,"[206.0, 193.0]",12
2020-04-10 00:01:11.400000,"[201.0, 185.0]",12
2020-04-10 00:01:20.733333,"[149.0, 400.0]",3
2020-04-10 00:01:21.400000,"[156.0, 437.0]",3
2020-04-10 00:01:22.066667,"[127.0, 474.0]",9
2020-04-10 00:01:22.733333,"[37.0, 429.0]",9
2020-04-10 00:01:22.733333,"[137.0, 413.0]",15
2020-04-10 00:01:23.400000,"[121.0, 484.0]",9
2020-04-10 00:01:23.400000,"[127.0, 431.0]",15
2020-04-10 00:01:24.066667,"[120.0, 504.0]",9
2020-04-10 00:01:24.066667,"[154.0, 453.0]",15
2020-04-10 00:01:24.733333,"[98.0, 494.0]",9
2020-04-10 00:01:24.733333,"[143.0, 442.0]",15
2020-04-10 00:01:25.400000,"[89.0, 494.0]",9
